employee_id,employee_name,department,work_date,clock_in,clock_out,tasks_completed,tasks_assigned,status
1,Rahul Sharma,Engineering,2026-06-01,09:05,18:10,5,6,Present
2,Priya Reddy,Engineering,2026-06-01,08:55,18:00,8,8,Present
3,Amit Kumar,Sales,2026-06-01,09:30,17:45,3,5,Present
4,Sneha Patel,HR,2026-06-01,09:00,18:00,4,4,Present
5,Farhan Ali,Sales,2026-06-01,,,0,3,Absent
6,Neha Singh,Marketing,2026-06-01,09:15,17:30,6,7,Present
7,Arjun Verma,Engineering,2026-06-01,09:50,18:20,5,5,Present
8,Meera Nair,Marketing,2026-06-01,09:00,17:00,4,6,Present
1,Rahul Sharma,Engineering,2026-06-02,09:00,18:00,6,6,Present
2,Priya Reddy,Engineering,2026-06-02,09:10,18:05,7,8,Present
3,Amit Kumar,Sales,2026-06-02,,,0,4,Absent
4,Sneha Patel,HR,2026-06-02,08:50,17:55,5,5,Present
5,Farhan Ali,Sales,2026-06-02,10:00,18:30,2,4,Present
6,Neha Singh,Marketing,2026-06-02,09:05,17:40,5,6,Present
7,Arjun Verma,Engineering,2026-06-02,09:00,18:00,6,6,Present
8,Meera Nair,Marketing,2026-06-02,09:20,17:50,3,5,Present
1,Rahul Sharma,Engineering,2026-06-03,10:15,18:00,4,6,Present
2,Priya Reddy,Engineering,2026-06-03,08:50,17:55,8,8,Present
3,Amit Kumar,Sales,2026-06-03,09:45,17:30,,5,Present
4,Sneha Patel,HR,2026-06-03,09:00,,3,4,Present
5,Farhan Ali,Sales,2026-06-03,,,0,3,Absent
6,Neha Singh,Marketing,2026-06-03,10:30,18:00,4,7,Present
7,Arjun Verma,Engineering,2026-06-03,09:00,18:10,6,6,Present
8,Meera Nair,Marketing,2026-06-03,09:10,17:45,5,6,Present
1,Rahul Sharma,Engineering,2026-06-04,09:00,18:00,6,6,Present
2,Priya Reddy,Engineering,2026-06-04,09:00,18:00,8,8,Present
3,Amit Kumar,Sales,2026-06-04,10:20,17:30,2,5,Present
4,Sneha Patel,HR,2026-06-04,08:55,17:50,4,4,Present
5,Farhan Ali,Sales,2026-06-04,09:30,18:00,3,4,Present
6,Neha Singh,Marketing,2026-06-04,09:00,17:30,6,7,Present
7,Arjun Verma,Engineering,2026-06-04,,,0,5,Absent
8,Meera Nair,Marketing,2026-06-04,09:15,17:40,4,6,Present
1,Rahul Sharma,Engineering,2026-06-05,09:10,18:05,5,6,Present
2,Priya Reddy,Engineering,2026-06-05,08:45,17:50,7,8,Present
3,Amit Kumar,Sales,2026-06-05,10:00,17:30,3,5,Present
4,Sneha Patel,HR,2026-06-05,09:00,18:00,4,4,Present
5,Farhan Ali,Sales,2026-06-05,,,0,3,Absent
6,Neha Singh,Marketing,2026-06-05,09:00,17:30,5,7,Present
7,Arjun Verma,Engineering,2026-06-05,09:05,18:00,6,6,Present
8,Meera Nair,Marketing,2026-06-05,09:00,17:30,4,6,Present
